route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
6,2024_08_12-SA-MVS-Saturday-01,1575891,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575783,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575892,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575784,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575893,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575785,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575894,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575786,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575895,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575787,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575896,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575788,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575897,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575789,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575898,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575790,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575899,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575791,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575900,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575901,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575902,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575903,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1577093,"OAK Airport / Richmond",0,,003A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1577094,"OAK Airport / Richmond",0,,003B_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575695,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575696,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575586,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575697,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575587,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575698,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575588,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575699,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575589,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575700,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575590,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575701,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575591,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575702,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575592,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575703,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575593,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575704,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575594,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575705,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575595,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575706,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575596,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575707,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575597,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575708,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575598,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575709,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-SA-MVS-Saturday-01,1575599,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-SA-MVS-Saturday-01,1575710,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
